ms_id	bibl_xml_id	bibl_xpath	bibl_xpath_readable	citedRange_from	citedRange_to	status	ref_ms_id	ref_locus_xpath	ref_locus_xpath_readable	ref_locus_from	ref_locus_to
1488		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[5]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	2v	existing	1502	/*/*[2]/*/*/*/*[2]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	2v
1488		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[6]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	6v	existing	1492	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	6v
1488		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[7]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	24v	existing	1477	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	24v
1488		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[8]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	6v	existing	1479	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	6v
1488		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[9]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	6v	existing	587	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	6v
1488		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[10]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	46v	existing	608	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	46v
1489		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	1501	/*/*[2]/*/*/*/*[2]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1489		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	2v	existing	1480	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	2v
1489		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	6v	existing	1474	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	6v
1489		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	19v	existing	555	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	19v
