host_ms	file	bibl_xml_id	bibl_xpath	bibl_xpath_readable	ref_ms	action	changed	reason	n_before	n_after	citedRanges_before	citedRanges_after
1477	data/manuscripts/tei/1477.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[6]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1488	skipped	no	referenced ms 1488 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"
1477	data/manuscripts/tei/1477.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[7]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1492	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""6v"">1r–6v</citedRange>"
1477	data/manuscripts/tei/1477.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[8]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1479	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""6v"">1r–6v</citedRange>"
1477	data/manuscripts/tei/1477.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[9]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1497	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""2v"">1r–2v</citedRange>"
1477	data/manuscripts/tei/1477.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[10]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	608	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""46v"">1r–46v</citedRange>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	377	skipped	no	referenced ms 377 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit="""">56-65</citedRange>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit="""">56-65</citedRange>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	639	skipped	no	referenced ms 639 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit="""">161-168</citedRange>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit="""">161-168</citedRange>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1499	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""1v"">1r–1v</citedRange>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1497	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""2v"">1r–2v</citedRange>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[5]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1502	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""2v"">1r–2v</citedRange>"
